Time,Amplitude,Energy
1743.755587908,1.0286851589,2.814003325312734e+32
1744.4958547128,1.0285884654,7.132051935262325e+31
1747.2083177216,1.0282287126,2.502174547255023e+32
1752.9415795509,1.0408912703,4.138119556264413e+32
1758.6956796674,1.0081177447,1.789818442244397e+32
1759.2484523706,1.0130338205,2.5601354671958363e+32
1759.7040039183,1.0305984567,1.329601762297703e+32
1760.4887196174,1.0131591416,8.387094547263359e+31
1761.7123215824,1.0132259871,9.616127861466554e+31
1817.545792773,1.0189407562,1.1361661678654545e+32
1821.1569501241,1.0388864892,2.1272494347569896e+32
1823.1180902486,1.0120119908,7.981568086339307e+31
1823.8653242043,1.0139108703,6.426046282850382e+31
1835.4502421773,1.113874459,1.1022660439905232e+33
1901.4350323239,1.0488033432,2.941305168208114e+32
1902.5586651543,1.0212401667,1.4655515544362172e+32
1902.7600579734,1.0191816707,4.49099056256257e+31
1903.0211741936,1.0366966037,7.921702733315924e+31
1904.5823160934,1.0143656471,6.281002070894195e+31
1906.5615221772,1.0355015928,2.2163422125826862e+32
1912.3171928839,1.0109582776,1.3010728728343176e+32
1915.5672427078,1.0233625704,8.515484200992491e+31
1921.6006716918,1.0478734622,1.6766420088905217e+32
1921.8381754944,1.0170224363,5.009323502768657e+31
1924.250714098,1.0138399408,6.406902215262514e+31
1925.3882322598,1.0422640413,5.154747575002376e+32
1938.65921325,1.0233164345,8.258964819737594e+31
1940.1620074717,1.016781835,5.3886597814222695e+31
1945.0953721814,1.0149472839,3.0650289379862276e+31
1945.9884329711,1.0185251017,3.391896015473586e+31
1946.9134384376,1.0181986949,6.150596727114625e+31
1947.2162180062,1.0106180516,9.724061091235159e+30
1947.9342778014,1.0117843219,1.0749565326135935e+31
1953.0912518908,1.0673466656,2.4614788356003685e+33
1960.5371077716,1.0087549306,1.1511019916157938e+32
1972.1190354833,1.0123014924,1.537291193770633e+32
1972.8190318463,1.0580377798,7.593863651107014e+32
1973.0620861554,1.0166486877,4.826755769501494e+31
1974.870410318,1.0620939932,2.258926368407798e+32
1979.1828881378,1.0085117746,4.4640989210910045e+31
1980.0328836959,1.0281838521,1.476798378661036e+32
1980.6578804353,1.0150947866,4.091334847923771e+32
1989.848072085,1.0579419032,4.294277239290182e+32
1991.9813838615,1.0144415923,3.5173370930917554e+31
1994.2355278122,1.0351691171,1.129921542841629e+32
1997.0174376872,1.0202079439,6.166605912941804e+31
1997.7382595548,1.0094316835,1.5867845324893193e+32
2000.5021070356,1.0182685646,1.7146729722154447e+32
2001.8479207379,1.0099065307,2.547376406032208e+31
2007.4825617837,1.0394082219,2.7282559193426356e+32
2010.6616745812,1.0095713707,1.1167382314795563e+32
2010.7408396845,1.0243438561,1.5050943611279224e+32
2017.089333678,1.0142840537,1.6664433540743687e+31
2017.7101558882,1.0118321096,2.0367716099537915e+32
2020.2684438489,1.0163540768,3.151219274758064e+31
2025.1336210323,1.0118386946,8.144012687344909e+31
2029.126592144,1.0116432705,1.9556745329732632e+31
2030.0751836734,1.0149748805,6.222138646588466e+31
2032.5306892626,1.0400293482,8.668646175907099e+31
2034.1681566467,1.0115453354,2.328421947472342e+31
2642.8224214941,1.0204924785,1.033425862893359e+32
2645.2252444141,1.0274435289,3.3687839754750806e+32
2645.5335835746,1.0105892882,7.492064981460912e+31
2646.1724845373,1.0172172839,9.891415612603546e+31
2647.3072281356,1.0159647442,1.253827077271563e+32
2648.5322508828,1.0239706021,7.399133867291641e+31
2649.5933808626,1.0318102072,7.93737574756289e+32
2649.9558868862,1.0766887058,2.812249595930326e+32
2655.6851261061,1.018076023,1.624810629671699e+32
